Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s);Moves
Abomasnow;['Grass', 'Ice'];['Snow Warning', 'Soundproof'];PU;90;92;75;92;85;60;[];['Ice Punch', 'Powder Snow', 'Leer', 'Razor Leaf', 'Icy Wind', 'Razor Leaf', 'Icy Wind', 'Grass Whistle', 'Swagger', 'Mist', 'Ice Shard', 'Ingrain', 'Wood Hammer', 'Blizzard', 'Sheer Cold', 'Avalanche', 'Bullet Seed', "Double'Edge", 'Growth', 'Leech Seed', 'Magical Leaf', 'Mist', 'Natural Gift', 'Seed Bomb', 'Skull Bash', 'Stomp', 'Block', 'Focus Punch', 'Giga Drain', 'Headbutt', 'Ice Punch', 'Icy Wind', 'Iron Tail', "Mud'Slap", 'Outrage', 'Role Play', 'Seed Bomb', 'Sleep Talk', 'Snore', 'Synthesis', 'Water Pulse', 'Worry Seed', 'Focus Punch', 'Water Pulse', 'Toxic', 'Hail', 'Bullet Seed', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Light Screen', 'Protect', 'Rain Dance', 'Giga Drain', 'Safeguard', 'Frustration', 'Solar Beam', 'Iron Tail', 'Earthquake', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Rock Tomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Focus Blast', 'Energy Ball', 'Fling', 'Endure', 'Giga Impact', 'Flash', 'Avalanche', 'Swords Dance', 'Bulldoze', 'Frost Breath', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Strength', 'Rock Smash', 'Rock Climb']
Abomasnow-Mega;['Grass', 'Ice'];['Snow Warning'];NUBL;90;132;105;132;105;30;[];['Ice Punch', 'Powder Snow', 'Leer', 'Razor Leaf', 'Icy Wind', 'Razor Leaf', 'Icy Wind', 'Grass Whistle', 'Swagger', 'Mist', 'Ice Shard', 'Ingrain', 'Wood Hammer', 'Blizzard', 'Sheer Cold', 'Avalanche', 'Bullet Seed', "Double'Edge", 'Growth', 'Leech Seed', 'Magical Leaf', 'Mist', 'Natural Gift', 'Seed Bomb', 'Skull Bash', 'Stomp', 'Block', 'Focus Punch', 'Giga Drain', 'Headbutt', 'Ice Punch', 'Icy Wind', 'Iron Tail', "Mud'Slap", 'Outrage', 'Role Play', 'Seed Bomb', 'Sleep Talk', 'Snore', 'Synthesis', 'Water Pulse', 'Worry Seed', 'Focus Punch', 'Water Pulse', 'Toxic', 'Hail', 'Bullet Seed', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Light Screen', 'Protect', 'Rain Dance', 'Giga Drain', 'Safeguard', 'Frustration', 'Solar Beam', 'Iron Tail', 'Earthquake', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Rock Tomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Focus Blast', 'Energy Ball', 'Fling', 'Endure', 'Giga Impact', 'Flash', 'Avalanche', 'Swords Dance', 'Bulldoze', 'Frost Breath', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Strength', 'Rock Smash', 'Rock Climb']
Abra;['Psychic'];['Inner Focus', 'Magic Guard', 'Synchronize'];LC;25;20;15;105;55;90;['Kadabra'];['Teleport', 'Ally Switch', 'Barrier', 'Encore', 'Fire Punch', 'Guard Split', 'Guard Swap', 'Ice Punch', 'Knock Off', 'Light Screen', 'Power Trick', 'Psychic Terrain', 'Psycho Shift', 'Skill Swap', 'Thunder Punch', 'Body Slam', 'Counter', "Double'Edge", 'Drain Punch', 'Dream Eater', 'Dynamic Punch', 'Endure', 'Fire Punch', 'Focus Punch', 'Foul Play', 'Gravity', 'Headbutt', 'Ice Punch', 'Iron Tail', 'Knock Off', 'Magic Coat', 'Magic Room', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', 'Nightmare', 'Psych Up', 'Recycle', 'Role Play', 'Seismic Toss', 'Shock Wave', 'Signal Beam', 'Skill Swap', 'Sleep Talk', 'Snatch', 'Snore', 'Substitute', 'Swagger', 'Thunder Punch', 'Thunder Wave', 'Trick', 'Wonder Room', 'Zen Headbutt', 'Psyshock', 'Focus Punch', 'Calm Mind', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', "Double'Edge", 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Zap Cannon', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Light Screen', 'Protect', 'Rain Dance', 'Endure', 'Telekinesis', 'Safeguard', 'Frustration', 'Iron Tail', 'Return', 'Psychic', 'Shadow Ball', 'Teleport', 'Mimic', 'Double Team', 'Ice Punch', 'Swagger', 'Sleep Talk', 'Thunder Punch', 'Dream Eater', 'Reflect', 'Shock Wave', 'Torment', 'Facade', 'Secret Power', 'Bide', 'Metronome', 'Skull Bash', 'Rest', 'Attract', 'Thief', 'Round', 'Ally Switch', 'Skill Swap', 'Snatch', 'Energy Ball', 'Fling', 'Charge Beam', 'Endure', 'Drain Punch', 'Embargo', 'Recycle', 'Flash', 'Fire Punch', 'Nightmare', 'Thunder Wave', 'Psych Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Psywave', 'Tri Attack', 'Substitute', 'Flash', 'Trick Room', 'Secret Power', 'Dazzling Gleam', 'Confide']
Absol;['Dark'];['Justified', 'Pressure', 'Super Luck'];PU;65;130;60;75;60;75;[];['Perish Song', 'Future Sight', 'Me First', 'Razor Wind', 'Detect', 'Scratch', 'Feint', 'Leer', 'Quick Attack', 'Taunt', 'Scratch', 'Feint', 'Leer', 'Quick Attack', 'Razor Wind', 'Pursuit', 'Taunt', 'Bite', 'Double Team', 'Slash', 'Swords Dance', 'Night Slash', 'Detect', 'Psycho Cut', 'Me First', 'Bite', 'Double Team', 'Slash', 'Future Sight', 'Sucker Punch', 'Razor Wind', 'Future Sight', 'Night Slash', 'Detect', 'Night Slash', 'Me First', 'Psycho Cut', 'Sucker Punch', 'Razor Wind', 'Me First', 'Perish Song', 'Assurance', 'Baton Pass', 'Curse', "Double'Edge", 'Feint Attack', 'Hex', 'Magic Coat', 'Me First', 'Mean Look', 'Megahorn', 'Perish Song', 'Play Rough', 'Punishment', 'Substitute', 'Sucker Punch', 'Zen Headbutt', 'Body Slam', 'Bounce', 'Counter', 'Dark Pulse', "Double'Edge", 'Dream Eater', 'Endure', 'Foul Play', 'Fury Cutter', 'Headbutt', 'Icy Wind', 'Iron Tail', 'Knock Off', 'Magic Coat', 'Mimic', "Mud'Slap", 'Nightmare', 'Psych Up', 'Rock Slide', 'Role Play', 'Shock Wave', 'Sleep Talk', 'Snatch', 'Snore', 'Spite', 'Substitute', 'Sucker Punch', 'Superpower', 'Swagger', 'Swift', 'Swords Dance', 'Thunder Wave', 'Water Pulse', 'Zen Headbutt', 'Water Pulse', 'Hone Claws', 'Calm Mind', 'Toxic', 'Hail', 'Hidden Power', 'Sunny Day', 'Taunt', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Shadow Ball', 'Double Team', 'Shock Wave', 'Flamethrower', 'Sandstorm', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Snatch', 'Round', 'Echoed Voice', 'False Swipe', 'Charge Beam', 'Brutal Swing', 'Incinerate', 'Endure', "Will'O'Wisp", 'Shadow Claw', 'Payback', 'Retaliate', 'Giga Impact', 'Flash', 'Stone Edge', 'Thunder Wave', 'Swords Dance', 'Psych Up', 'Captivate', 'Dark Pulse', 'Rock Slide', "X'Scissor", 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Snarl', 'Dark Pulse', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash']
Absol-Mega;['Dark'];['Magic Bounce'];RUBL;65;150;60;115;60;115;[];['Perish Song', 'Future Sight', 'Me First', 'Razor Wind', 'Detect', 'Scratch', 'Feint', 'Leer', 'Quick Attack', 'Taunt', 'Scratch', 'Feint', 'Leer', 'Quick Attack', 'Razor Wind', 'Pursuit', 'Taunt', 'Bite', 'Double Team', 'Slash', 'Swords Dance', 'Night Slash', 'Detect', 'Psycho Cut', 'Me First', 'Bite', 'Double Team', 'Slash', 'Future Sight', 'Sucker Punch', 'Razor Wind', 'Future Sight', 'Night Slash', 'Detect', 'Night Slash', 'Me First', 'Psycho Cut', 'Sucker Punch', 'Razor Wind', 'Me First', 'Perish Song', 'Assurance', 'Baton Pass', 'Curse', "Double'Edge", 'Feint Attack', 'Hex', 'Magic Coat', 'Me First', 'Mean Look', 'Megahorn', 'Perish Song', 'Play Rough', 'Punishment', 'Substitute', 'Sucker Punch', 'Zen Headbutt', 'Body Slam', 'Bounce', 'Counter', 'Dark Pulse', "Double'Edge", 'Dream Eater', 'Endure', 'Foul Play', 'Fury Cutter', 'Headbutt', 'Icy Wind', 'Iron Tail', 'Knock Off', 'Magic Coat', 'Mimic', "Mud'Slap", 'Nightmare', 'Psych Up', 'Rock Slide', 'Role Play', 'Shock Wave', 'Sleep Talk', 'Snatch', 'Snore', 'Spite', 'Substitute', 'Sucker Punch', 'Superpower', 'Swagger', 'Swift', 'Swords Dance', 'Thunder Wave', 'Water Pulse', 'Zen Headbutt', 'Water Pulse', 'Hone Claws', 'Calm Mind', 'Toxic', 'Hail', 'Hidden Power', 'Sunny Day', 'Taunt', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Shadow Ball', 'Double Team', 'Shock Wave', 'Flamethrower', 'Sandstorm', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Snatch', 'Round', 'Echoed Voice', 'False Swipe', 'Charge Beam', 'Brutal Swing', 'Incinerate', 'Endure', "Will'O'Wisp", 'Shadow Claw', 'Payback', 'Retaliate', 'Giga Impact', 'Flash', 'Stone Edge', 'Thunder Wave', 'Swords Dance', 'Psych Up', 'Captivate', 'Dark Pulse', 'Rock Slide', "X'Scissor", 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Snarl', 'Dark Pulse', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash']
Accelgor;['Bug'];['Hydration', 'Sticky Hold', 'Unburden'];NU;80;70;40;100;60;145;[];['Water Shuriken', 'Final Gambit', 'Power Swap', 'Absorb', 'Leech Life', 'Acid Spray', 'Double Team', 'Quick Attack', 'Acid Spray', 'Double Team', 'Quick Attack', 'Struggle Bug', 'Mega Drain', 'Swift', 'Me First', 'Agility', 'Giga Drain', "U'turn", 'Bug Buzz', 'Recover', 'Power Swap', 'Final Gambit', 'Acid', 'Bide', 'Curse', 'Yawn', 'Protect', 'Acid Armor', 'Body Slam', 'Guard Swap', 'Baton Pass', "Double'Edge", 'Encore', 'Endure', 'Feint', 'Guard Split', 'Mind Reader', "Mud'Slap", 'Pursuit', 'Spikes', 'Toxic Spikes', 'Bug Bite', 'Gastro Acid', 'Giga Drain', 'Knock Off', 'Signal Beam', 'Sleep Talk', 'Snore', 'Toxic', 'Venoshock', 'Hidden Power', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Leech Life', 'Double Team', 'Sludge Bomb', 'Sandstorm', 'Facade', 'Rest', 'Attract', 'Round', 'Focus Blast', 'Energy Ball', 'Giga Impact', 'Struggle Bug', 'Infestation', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Secret Power', 'Confide']
Aegislash;['Steel', 'Ghost'];['Stance Change'];Uber;60;50;150;50;150;60;[];['Fury Cutter', 'Pursuit', 'Autotomize', 'Shadow Sneak', 'Slash', 'Iron Defense', 'Night Slash', 'Power Trick', 'Iron Head', 'Head Smash', 'Swords Dance', 'Aerial Ace', "King's Shield", 'Sacred Sword', 'Tackle', 'Metal Sound', 'Retaliate', 'Destiny Bond', 'Metal Sound', 'Shadow Sneak', 'Wide Guard', 'After You', 'Block', 'Iron Defense', 'Iron Head', 'Magnet Rise', 'Shock Wave', 'Snore', 'Spite', 'Toxic', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Reflect', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Round', 'False Swipe', 'Brutal Swing', 'Shadow Claw', 'Retaliate', 'Giga Impact', 'Gyro Ball', 'Swords Dance', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Rock Smash']
Aegislash-Blade;['Steel', 'Ghost'];['Stance Change'];Uber;60;150;50;150;50;60;[];['Fury Cutter', 'Pursuit', 'Autotomize', 'Shadow Sneak', 'Slash', 'Iron Defense', 'Night Slash', 'Power Trick', 'Iron Head', 'Head Smash', 'Swords Dance', 'Aerial Ace', "King's Shield", 'Sacred Sword', 'Tackle', 'Metal Sound', 'Retaliate', 'Destiny Bond', 'Metal Sound', 'Shadow Sneak', 'Wide Guard', 'After You', 'Block', 'Iron Defense', 'Iron Head', 'Magnet Rise', 'Shock Wave', 'Snore', 'Spite', 'Toxic', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Reflect', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Round', 'False Swipe', 'Brutal Swing', 'Shadow Claw', 'Retaliate', 'Giga Impact', 'Gyro Ball', 'Swords Dance', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Rock Smash']
Aerodactyl;['Rock', 'Flying'];['Pressure', 'Rock Head', 'Unnerve'];RU;80;105;65;60;75;130;[];['Iron Head', 'Ice Fang', 'Fire Fang', 'Thunder Fang', 'Wing Attack', 'Supersonic', 'Bite', 'Scary Face', 'Roar', 'Agility', 'Bite', 'Supersonic', 'Bite', 'Ancient Power', 'Scary Face', 'Crunch', 'Take Down', 'Iron Head', 'Sky Drop', 'Iron Head', 'Hyper Beam', 'Rock Slide', 'Giga Impact', 'Assurance', 'Curse', 'Dragon Breath', 'Foresight', 'Pursuit', 'Roost', 'Steel Wing', 'Tailwind', 'Whirlwind', 'Wide Guard', 'Air Cutter', 'Ancient Power', 'Aqua Tail', "Double'Edge", 'Dragon Pulse', 'Earth Power', 'Endure', 'Flamethrower', 'Headbutt', 'Heat Wave', 'Iron Head', 'Iron Tail', 'Mimic', 'Ominous Wind', 'Rock Slide', 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Substitute', 'Swagger', 'Swift', 'Tailwind', 'Twister', 'Headbutt', 'Curse', 'Razor Wind', 'Whirlwind', 'Hone Claws', 'Dragon Claw', 'Roar', 'Toxic', 'Take Down', "Double'Edge", 'Rock Smash', 'Hidden Power', 'Snore', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Rage', 'Dragon Rage', 'Mimic', 'Protect', 'Rain Dance', 'Endure', 'Roost', 'Frustration', 'Smack Down', 'Iron Tail', 'Dragon Breath', 'Earthquake', 'Return', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Swift', 'Detect', 'Sky Attack', 'Rest', 'Attract', 'Thief', 'Round', 'Steel Wing', 'Roost', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', 'Payback', 'Giga Impact', 'Rock Polish', 'Stone Edge', 'Fly', 'Stealth Rock', 'Bulldoze', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Fly', 'Strength', 'Defog', 'Rock Smash']
Aerodactyl-Mega;['Rock', 'Flying'];['Tough Claws'];UU;80;135;85;70;95;150;[];['Iron Head', 'Ice Fang', 'Fire Fang', 'Thunder Fang', 'Wing Attack', 'Supersonic', 'Bite', 'Scary Face', 'Roar', 'Agility', 'Bite', 'Supersonic', 'Bite', 'Ancient Power', 'Scary Face', 'Crunch', 'Take Down', 'Iron Head', 'Sky Drop', 'Iron Head', 'Hyper Beam', 'Rock Slide', 'Giga Impact', 'Assurance', 'Curse', 'Dragon Breath', 'Foresight', 'Pursuit', 'Roost', 'Steel Wing', 'Tailwind', 'Whirlwind', 'Wide Guard', 'Air Cutter', 'Ancient Power', 'Aqua Tail', "Double'Edge", 'Dragon Pulse', 'Earth Power', 'Endure', 'Flamethrower', 'Headbutt', 'Heat Wave', 'Iron Head', 'Iron Tail', 'Mimic', 'Ominous Wind', 'Rock Slide', 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Substitute', 'Swagger', 'Swift', 'Tailwind', 'Twister', 'Headbutt', 'Curse', 'Razor Wind', 'Whirlwind', 'Hone Claws', 'Dragon Claw', 'Roar', 'Toxic', 'Take Down', "Double'Edge", 'Rock Smash', 'Hidden Power', 'Snore', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Rage', 'Dragon Rage', 'Mimic', 'Protect', 'Rain Dance', 'Endure', 'Roost', 'Frustration', 'Smack Down', 'Iron Tail', 'Dragon Breath', 'Earthquake', 'Return', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Swift', 'Detect', 'Sky Attack', 'Rest', 'Attract', 'Thief', 'Round', 'Steel Wing', 'Roost', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', 'Payback', 'Giga Impact', 'Rock Polish', 'Stone Edge', 'Fly', 'Stealth Rock', 'Bulldoze', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Fly', 'Strength', 'Defog', 'Rock Smash']
