Name,Tier,Num Types,Type 1,Type 2,Num Abilities,Ability 1,Ability 2,Ability 3,Has Negative Ability,HP,Attack,Defense,Special Attack,Special Defense,Speed,Base Stat Total,Next Evolution(s),Evolutionary Stage,Num Evolutionary Stages,Evolutionary Progress,Is Mega Evolution,Is Alternate Form,Num Moves,Moves,Defensive Boost Moves,Offensive Boost Moves,Max Defensive Boost Amount,Max Offensive Boost Amount,Recovery Moves,Priority STAB Attacks,Entry Hazards,Hazard Clearing Moves,Phazing Moves,Switch Attacks,High Prob Side FX Attacks,Constant Damage Attacks,Trapping Moves
Abomasnow,PU,2,Grass,Ice,2,Snow Warning,Soundproof,,0,90,92,75,92,85,60,494,[],2,2,1.0,0,0,75,"{'Toxic', 'Light Screen', 'Blizzard', 'Rock Smash', 'Powder Snow', 'Shadow Ball', 'Rock Slide', 'Iron Tail', 'Razor Leaf', 'Outrage', 'Hail', 'Worry Seed', 'Flash', 'Sheer Cold', 'Magical Leaf', 'Frustration', 'Return', 'Brick Break', 'Seed Bomb', 'Growth', 'Solar Beam', 'Protect', 'Attract', 'Grass Knot', 'Strength', 'Double-Edge', 'Giga Impact', 'Leer', 'Rain Dance', 'Role Play', 'Earthquake', 'Rock Tomb', 'Block', 'Natural Gift', 'Wood Hammer', 'Leech Seed', 'Mud-Slap', 'Giga Drain', 'Ice Punch', 'Synthesis', 'Mist', 'Rest', 'Fling', 'Focus Punch', 'Endure', 'Facade', 'Ingrain', 'Headbutt', 'Sleep Talk', 'Ice Beam', 'Focus Blast', 'Confide', 'Icy Wind', 'Double Team', 'Hyper Beam', 'Secret Power', 'Captivate', 'Substitute', 'Safeguard', 'Water Pulse', 'Avalanche', 'Skull Bash', 'Energy Ball', 'Swagger', 'Grass Whistle', 'Bullet Seed', 'Frost Breath', 'Bulldoze', 'Hidden Power', 'Stomp', 'Rock Climb', 'Snore', 'Ice Shard', 'Swords Dance', 'Round'}",set(),{'Swords Dance'},0,2,{'Synthesis'},{'Ice Shard'},set(),set(),set(),set(),"{'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),{'Block'}
Abomasnow-Mega,NUBL,2,Grass,Ice,1,Snow Warning,,,0,90,132,105,132,105,30,594,[],2,2,1.0,1,0,75,"{'Toxic', 'Light Screen', 'Blizzard', 'Rock Smash', 'Powder Snow', 'Shadow Ball', 'Rock Slide', 'Iron Tail', 'Razor Leaf', 'Outrage', 'Hail', 'Worry Seed', 'Flash', 'Sheer Cold', 'Magical Leaf', 'Frustration', 'Return', 'Brick Break', 'Seed Bomb', 'Growth', 'Solar Beam', 'Protect', 'Attract', 'Grass Knot', 'Strength', 'Double-Edge', 'Giga Impact', 'Leer', 'Rain Dance', 'Role Play', 'Earthquake', 'Rock Tomb', 'Block', 'Natural Gift', 'Wood Hammer', 'Leech Seed', 'Mud-Slap', 'Giga Drain', 'Ice Punch', 'Synthesis', 'Mist', 'Rest', 'Fling', 'Focus Punch', 'Endure', 'Facade', 'Ingrain', 'Headbutt', 'Sleep Talk', 'Ice Beam', 'Focus Blast', 'Confide', 'Icy Wind', 'Double Team', 'Hyper Beam', 'Secret Power', 'Captivate', 'Substitute', 'Safeguard', 'Water Pulse', 'Avalanche', 'Skull Bash', 'Energy Ball', 'Swagger', 'Grass Whistle', 'Bullet Seed', 'Frost Breath', 'Bulldoze', 'Hidden Power', 'Stomp', 'Rock Climb', 'Snore', 'Ice Shard', 'Swords Dance', 'Round'}",set(),{'Swords Dance'},0,2,{'Synthesis'},{'Ice Shard'},set(),set(),set(),set(),"{'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),{'Block'}
Abra,LC,1,Psychic,,3,Inner Focus,Magic Guard,Synchronize,0,25,20,15,105,55,90,310,['Kadabra'],1,3,0.3333333333333333,0,0,92,"{'Toxic', 'Trick', 'Power Trick', 'Iron Tail', 'Dynamic Punch', 'Body Slam', 'Return', 'Psywave', 'Psychic', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Metronome', 'Confide', 'Captivate', 'Mega Kick', 'Psych Up', 'Torment', 'Snatch', 'Hidden Power', 'Guard Swap', 'Light Screen', 'Bide', 'Recycle', 'Thunder Wave', 'Frustration', 'Mega Punch', 'Charge Beam', 'Rain Dance', 'Natural Gift', 'Teleport', 'Zen Headbutt', 'Dream Eater', 'Take Down', 'Trick Room', 'Safeguard', 'Energy Ball', 'Swagger', 'Skill Swap', 'Taunt', 'Magic Coat', 'Flash', 'Protect', 'Attract', 'Snore', 'Grass Knot', 'Drain Punch', 'Double-Edge', 'Curse', 'Zap Cannon', 'Thief', 'Knock Off', 'Magic Room', 'Rest', 'Endure', 'Fire Punch', 'Ally Switch', 'Psychic Terrain', 'Sleep Talk', 'Secret Power', 'Wonder Room', 'Substitute', 'Sunny Day', 'Double Team', 'Counter', 'Shock Wave', 'Rage', 'Thunder Punch', 'Round', 'Embargo', 'Shadow Ball', 'Mimic', 'Seismic Toss', 'Barrier', 'Reflect', 'Gravity', 'Psyshock', 'Role Play', 'Signal Beam', 'Calm Mind', 'Encore', 'Ice Punch', 'Guard Split', 'Nightmare', 'Skull Bash', 'Dazzling Gleam', 'Tri Attack', 'Foul Play', 'Psycho Shift', 'Submission', 'Telekinesis'}","{'Barrier', 'Calm Mind'}",{'Calm Mind'},2,1,set(),set(),set(),set(),set(),set(),"{'Body Slam', 'Headbutt', 'Iron Tail'}",{'Seismic Toss'},set()
Absol,PU,1,Dark,,3,Justified,Pressure,Super Luck,0,65,130,60,75,60,75,465,[],1,1,1.0,0,0,107,"{'Toxic', 'Blizzard', 'Detect', 'Iron Tail', 'Body Slam', 'Return', 'Hex', 'Strength', 'Perish Song', 'Giga Impact', 'Fury Cutter', 'Facade', 'Headbutt', 'Aerial Ace', 'Confide', 'Bounce', 'Payback', 'Captivate', 'Torment', 'Retaliate', 'Incinerate', 'Bite', 'Snatch', 'Superpower', 'Assurance', 'Hidden Power', 'Swords Dance', 'Baton Pass', 'Rock Slide', 'Sucker Punch', 'Thunder Wave', 'Frustration', 'Shadow Claw', 'Charge Beam', 'Scratch', 'Cut', 'Rain Dance', 'Me First', 'Natural Gift', 'Flamethrower', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Night Slash', 'Swagger', 'Snarl', 'Taunt', 'Rock Smash', 'Magic Coat', 'Fire Blast', 'Flash', 'Stone Edge', 'Sandstorm', 'Echoed Voice', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Feint Attack', 'False Swipe', 'Ice Beam', 'Sleep Talk', 'Slash', 'Double Team', 'Secret Power', 'Substitute', 'Sunny Day', 'Quick Attack', 'Counter', 'Shock Wave', 'Punishment', 'Will-O-Wisp', 'Thunder', 'Future Sight', 'Megahorn', 'Round', 'Shadow Ball', 'Mimic', 'Hail', 'Mean Look', 'Swift', 'Play Rough', 'Feint', 'Spite', 'Role Play', 'Pursuit', 'Calm Mind', 'Nightmare', 'Hone Claws', 'Brutal Swing', 'Icy Wind', 'Hyper Beam', 'Dark Pulse', 'Water Pulse', 'Foul Play', 'X-Scissor', 'Razor Wind', 'Psycho Cut', 'Snore', 'Psych Up'}",{'Calm Mind'},"{'Swords Dance', 'Hone Claws', 'Calm Mind'}",1,2,set(),{'Sucker Punch'},set(),set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),{'Mean Look'}
Absol-Mega,RUBL,1,Dark,,1,Magic Bounce,,,0,65,150,60,115,60,115,565,[],1,1,1.0,1,0,107,"{'Toxic', 'Blizzard', 'Detect', 'Iron Tail', 'Body Slam', 'Return', 'Hex', 'Strength', 'Perish Song', 'Giga Impact', 'Fury Cutter', 'Facade', 'Headbutt', 'Aerial Ace', 'Confide', 'Bounce', 'Payback', 'Captivate', 'Torment', 'Retaliate', 'Incinerate', 'Bite', 'Snatch', 'Superpower', 'Assurance', 'Hidden Power', 'Swords Dance', 'Baton Pass', 'Rock Slide', 'Sucker Punch', 'Thunder Wave', 'Frustration', 'Shadow Claw', 'Charge Beam', 'Scratch', 'Cut', 'Rain Dance', 'Me First', 'Natural Gift', 'Flamethrower', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Night Slash', 'Swagger', 'Snarl', 'Taunt', 'Rock Smash', 'Magic Coat', 'Fire Blast', 'Flash', 'Stone Edge', 'Sandstorm', 'Echoed Voice', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Feint Attack', 'False Swipe', 'Ice Beam', 'Sleep Talk', 'Slash', 'Double Team', 'Secret Power', 'Substitute', 'Sunny Day', 'Quick Attack', 'Counter', 'Shock Wave', 'Punishment', 'Will-O-Wisp', 'Thunder', 'Future Sight', 'Megahorn', 'Round', 'Shadow Ball', 'Mimic', 'Hail', 'Mean Look', 'Swift', 'Play Rough', 'Feint', 'Spite', 'Role Play', 'Pursuit', 'Calm Mind', 'Nightmare', 'Hone Claws', 'Brutal Swing', 'Icy Wind', 'Hyper Beam', 'Dark Pulse', 'Water Pulse', 'Foul Play', 'X-Scissor', 'Razor Wind', 'Psycho Cut', 'Snore', 'Psych Up'}",{'Calm Mind'},"{'Swords Dance', 'Hone Claws', 'Calm Mind'}",1,2,set(),{'Sucker Punch'},set(),set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),{'Mean Look'}
Accelgor,NU,1,Bug,,3,Hydration,Sticky Hold,Unburden,0,80,70,40,100,60,145,495,[],2,2,1.0,0,0,63,"{'Baton Pass', 'Bide', 'Toxic', 'Final Gambit', 'Body Slam', 'Venoshock', 'Frustration', 'Mega Drain', 'Acid', 'Return', 'Sandstorm', 'Power Swap', 'Infestation', 'Swift', 'Protect', 'Attract', 'Feint', 'Double-Edge', 'Curse', 'Absorb', 'Knock Off', 'Signal Beam', 'Me First', 'Rain Dance', 'Pursuit', 'Mud-Slap', 'Encore', 'Endure', 'Rest', 'Giga Drain', 'Recover', 'Giga Impact', 'Leech Life', 'Toxic Spikes', 'Facade', 'Guard Split', 'Sleep Talk', 'Focus Blast', 'Confide', 'Double Team', 'Secret Power', 'Hyper Beam', 'Sludge Bomb', 'Substitute', 'Quick Attack', 'Bug Bite', 'Energy Ball', 'Bug Buzz', 'Swagger', 'Acid Spray', 'Struggle Bug', 'Yawn', 'Mind Reader', 'Gastro Acid', 'Hidden Power', 'Guard Swap', 'Water Shuriken', 'Spikes', 'U-turn', 'Snore', 'Agility', 'Acid Armor', 'Round'}",{'Acid Armor'},{'Agility'},2,2,{'Recover'},set(),"{'Toxic Spikes', 'Spikes'}",set(),set(),{'U-turn'},"{'Body Slam', 'Sludge Bomb'}",set(),set()
Aegislash,Uber,2,Steel,Ghost,1,Stance Change,,,0,60,50,150,50,150,60,520,[],3,3,1.0,0,0,55,"{'Toxic', 'Shadow Ball', 'Rock Slide', 'Power Trick', 'Metal Sound', 'Frustration', 'Return', 'Brick Break', 'Shadow Claw', 'After You', 'Protect', 'Attract', 'Snore', 'Reflect', 'Confide', 'Spite', 'Rain Dance', 'Flash Cannon', 'Cut', 'Pursuit', 'Block', 'Rest', 'Giga Impact', 'Fury Cutter', 'Facade', 'False Swipe', 'Aerial Ace', 'Sleep Talk', 'Brutal Swing', 'Shadow Sneak', 'Slash', 'Double Team', 'Secret Power', 'Sunny Day', 'Night Slash', ""King's Shield"", 'Hyper Beam', 'Substitute', 'Shock Wave', 'Iron Defense', 'Tackle', 'Swagger', 'Wide Guard', 'Destiny Bond', 'Gyro Ball', 'Magnet Rise', 'Autotomize', 'Retaliate', 'Head Smash', 'Sacred Sword', 'Hidden Power', 'Iron Head', 'Rock Smash', 'Swords Dance', 'Round'}",{'Iron Defense'},{'Swords Dance'},2,2,set(),{'Shadow Sneak'},set(),set(),set(),set(),"{'Rock Slide', 'Iron Head'}",set(),{'Block'}
Aegislash-Blade,Uber,2,Steel,Ghost,1,Stance Change,,,0,60,150,50,150,50,60,520,[],3,3,1.0,0,1,55,"{'Toxic', 'Shadow Ball', 'Rock Slide', 'Power Trick', 'Metal Sound', 'Frustration', 'Return', 'Brick Break', 'Shadow Claw', 'After You', 'Protect', 'Attract', 'Snore', 'Reflect', 'Confide', 'Spite', 'Rain Dance', 'Flash Cannon', 'Cut', 'Pursuit', 'Block', 'Rest', 'Giga Impact', 'Fury Cutter', 'Facade', 'False Swipe', 'Aerial Ace', 'Sleep Talk', 'Brutal Swing', 'Shadow Sneak', 'Slash', 'Double Team', 'Secret Power', 'Sunny Day', 'Night Slash', ""King's Shield"", 'Hyper Beam', 'Substitute', 'Shock Wave', 'Iron Defense', 'Tackle', 'Swagger', 'Wide Guard', 'Destiny Bond', 'Gyro Ball', 'Magnet Rise', 'Autotomize', 'Retaliate', 'Head Smash', 'Sacred Sword', 'Hidden Power', 'Iron Head', 'Rock Smash', 'Swords Dance', 'Round'}",{'Iron Defense'},{'Swords Dance'},2,2,set(),{'Shadow Sneak'},set(),set(),set(),set(),"{'Rock Slide', 'Iron Head'}",set(),{'Block'}
Aerodactyl,RU,2,Rock,Flying,3,Pressure,Rock Head,Unnerve,0,80,105,65,60,75,130,515,[],1,1,1.0,0,0,90,"{'Toxic', 'Sky Attack', 'Iron Tail', 'Detect', 'Ominous Wind', 'Return', 'Dragon Pulse', 'Strength', 'Fire Fang', 'Giga Impact', 'Facade', 'Headbutt', 'Aerial Ace', 'Confide', 'Payback', 'Captivate', 'Air Cutter', 'Torment', 'Incinerate', 'Bite', 'Hidden Power', 'Assurance', 'Ice Fang', 'Bide', 'Rock Slide', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Steel Wing', 'Fly', 'Thunder Fang', 'Dragon Rage', 'Twister', 'Rain Dance', 'Earthquake', 'Natural Gift', 'Flamethrower', 'Bulldoze', 'Take Down', 'Wing Attack', 'Swagger', 'Defog', 'Taunt', 'Iron Head', 'Rock Smash', 'Fire Blast', 'Stone Edge', 'Sandstorm', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Rock Tomb', 'Whirlwind', 'Rest', 'Endure', 'Scary Face', 'Sleep Talk', 'Double Team', 'Foresight', 'Substitute', 'Sunny Day', 'Secret Power', 'Rage', 'Crunch', 'Wide Guard', 'Heat Wave', 'Roar', 'Smack Down', 'Agility', 'Round', 'Mimic', 'Aqua Tail', 'Roost', 'Swift', 'Tailwind', 'Reflect', 'Earth Power', 'Pursuit', 'Dragon Breath', 'Ancient Power', 'Supersonic', 'Hone Claws', 'Brutal Swing', 'Hyper Beam', 'Sky Drop', 'Dragon Claw', 'Razor Wind', 'Snore'}",set(),"{'Agility', 'Hone Claws', 'Rock Polish'}",0,2,{'Roost'},set(),{'Stealth Rock'},{'Defog'},"{'Whirlwind', 'Roar'}",set(),"{'Iron Head', 'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),set()
Aerodactyl-Mega,UU,2,Rock,Flying,1,Tough Claws,,,0,80,135,85,70,95,150,615,[],1,1,1.0,1,0,90,"{'Toxic', 'Sky Attack', 'Iron Tail', 'Detect', 'Ominous Wind', 'Return', 'Dragon Pulse', 'Strength', 'Fire Fang', 'Giga Impact', 'Facade', 'Headbutt', 'Aerial Ace', 'Confide', 'Payback', 'Captivate', 'Air Cutter', 'Torment', 'Incinerate', 'Bite', 'Hidden Power', 'Assurance', 'Ice Fang', 'Bide', 'Rock Slide', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Steel Wing', 'Fly', 'Thunder Fang', 'Dragon Rage', 'Twister', 'Rain Dance', 'Earthquake', 'Natural Gift', 'Flamethrower', 'Bulldoze', 'Take Down', 'Wing Attack', 'Swagger', 'Defog', 'Taunt', 'Iron Head', 'Rock Smash', 'Fire Blast', 'Stone Edge', 'Sandstorm', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Rock Tomb', 'Whirlwind', 'Rest', 'Endure', 'Scary Face', 'Sleep Talk', 'Double Team', 'Foresight', 'Substitute', 'Sunny Day', 'Secret Power', 'Rage', 'Crunch', 'Wide Guard', 'Heat Wave', 'Roar', 'Smack Down', 'Agility', 'Round', 'Mimic', 'Aqua Tail', 'Roost', 'Swift', 'Tailwind', 'Reflect', 'Earth Power', 'Pursuit', 'Dragon Breath', 'Ancient Power', 'Supersonic', 'Hone Claws', 'Brutal Swing', 'Hyper Beam', 'Sky Drop', 'Dragon Claw', 'Razor Wind', 'Snore'}",set(),"{'Agility', 'Hone Claws', 'Rock Polish'}",0,2,{'Roost'},set(),{'Stealth Rock'},{'Defog'},"{'Whirlwind', 'Roar'}",set(),"{'Iron Head', 'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),set()
